ExpID	File_Name	Env	Setup	LD_cycle	Num	ID	Nest	Source	Phenotype	Location	Gen	Sex	Photo	Subj_activity	Act_index	Breeding_nest	Start_Date	End_Date	Soil	Bury	Eggs	Instar	Distance	Carcass	Phenotype	expression	phen_idx
Loc0924	Monitor20200924_0928_soil	warmroom	soil	LD_4	7	S9211	n7565	WL	0	1_1	WT	F	L	Inactive	0	n7959	9/30/20	10/6/20	10.091	0	0	0	0.802	0	s		0
Loc0924	Monitor20200924_0928_soil	warmroom	soil	LD_4	8	S9461	n7583	WL	0	1_1	WT	M	L	Inactive	0	n7959	9/30/20	10/6/20	10.091	0	0	0	0.923	0	s		0
Loc0924	Monitor20200924_0928_soil	warmroom	soil	LD_4	9	T0758	n7890	MF	1	7429_7427	F20	F	L									1					1
Loc0924	Monitor20200924_0928_soil	warmroom	soil	LD_4	10	S9452	n7583	WL	0	1_1	WT	M	L	Active	1	n7954	9/30/20	10/6/20	10.137	0	0	0	0.913	0	s		0
Loc0924	Monitor20200924_0928_soil	warmroom	soil	LD_4	11	S9213	n7565	WL	0	1_1	WT	M	L	Active	1	n7953	9/30/20	10/6/20	9.954	1	1	0	4.084	0	s		0
Loc0924	Monitor20200924_0928_soil	warmroom	soil	LD_4	12	S9177	n7584	BF	0	8_8	WT	M	L	Inactive	0	n7965	9/30/20	10/13/20	10.165	1	0	0	0.609	0	s		0
Loc0924	Monitor20200924_0928_soil	warmroom	soil	LD_4	13	S9408	n7573	BF	0	12_10	WT	M	L	Active	1	n7963	9/30/20	10/13/20	10.239	1	0	1	5.578	0	y		0
Loc0924	Monitor20200924_0928_soil	warmroom	soil	LD_4	14	S8961	n7488	WL	0	3_5	WT	F	L	Active	1	n7953	9/30/20	10/6/20	9.954	1	1	0	3.898	0	y		0
Loc0924	Monitor20200924_0928_soil	warmroom	soil	LD_4	15	S9260	n7578	WL	0	3_3	WT	M	L	Active	1	n7955	9/30/20	10/6/20	10.18	0	0	0	2.865	0	s		0
Loc0924	Monitor20200924_0928_soil	warmroom	soil	LD_4	16	S9367	n7577	BF	0	12_12	WT	M	L	Inactive	0	n7966	9/30/20	10/13/20	10.062	0	0	0	2.944	0	s		0
Loc0924	Monitor20200924_0928_soil	warmroom	soil	LD_4	17	S9493	n7588	WL	0	1_2	WT	F	L	Inactive	0	n7955	9/30/20	10/6/20	10.18	0	0	0	2.017	0	s		0
Loc0924	Monitor20200924_0928_soil	warmroom	soil	LD_4	18	S9246	n7578	WL	0	3_3	WT	M	L	Active	1	n7956	9/30/20	10/6/20	10.127	0	0	0	0.844	0	s		0
Loc0924	Monitor20200924_0928_soil	warmroom	soil	LD_4	19	S9219	n7565	WL	0	1_1	WT	F	L	Inactive	0	n7960	9/30/20	10/6/20	10.208	0	0	0	6.504	0	s		0
Loc0924	Monitor20200924_0928_soil	warmroom	soil	LD_4	20	S9450	n7583	WL	0	1_1	WT	F	L	Inactive	0	n7956	9/30/20	10/6/20	10.127	0	0	0	2.376	0	s		0
Loc0924	Monitor20200924_0928_soil	warmroom	soil	LD_4	21	S9397	n7573	BF	0	12_10	WT	M	L	Abnormal	0.5	n7967	9/30/20	10/13/20	9.931	0.5	0	0	on carcass	1	y		0
Loc0924	Monitor20200924_0928_soil	warmroom	soil	LD_4	22	S8970	n7488	WL	0	3_5	WT	M	L	Inactive	0	n7960	9/30/20	10/6/20	10.208	0	0	0	8.957	0	s		0
Loc0924	Monitor20200924_0928_soil	warmroom	soil	LD_4	23	S9193	n7584	BF	0	8_8	WT	F	L	Inactive	0	n7966	9/30/20	10/13/20	10.062	0	0	0	1.636	0	s		0
Loc0924	Monitor20200924_0928_soil	warmroom	soil	LD_4	24	S9369	n7577	BF	0	12_12	WT	F	L	Abnormal	0.5	n7967	9/30/20	10/13/20	9.931	0.5	0	0	6.132	0	s		0
Loc0924	Monitor20200924_0928_soil	warmroom	soil	LD_4	25	S9241	n7578	WL	0	3_3	WT	F	L	Abnormal	0.5	n7961	9/30/20	10/6/20	10.114	0.5	0	0	2.211	0	s		0
Loc0924	Monitor20200924_0928_soil	warmroom	soil	LD_4	26	T0780	n7890	MF	1	7429_7427	F20	M	L									1					1
Loc0924	Monitor20200924_0928_soil	warmroom	soil	LD_4	27	S9366	n7577	BF	0	12_12	WT	F	L	Active	1	n7963	9/30/20	10/13/20	10.239	1	0	1	on carcass	1	y		0
Loc0924	Monitor20200924_0928_soil	warmroom	soil	LD_4	28	S8962	n7488	WL	0	3_5	WT	M	L	Abnormal	0.5	n7961	9/30/20	10/6/20	10.114	0.5	0	0	carcass	1.00	y		0
Loc0924	Monitor20200924_0928_soil	warmroom	soil	LD_4	29	S9216	n7565	WL	0	1_1	WT	M	L	Abnormal	0.5	n7957	9/30/20	10/6/20	10.13	0	0	0	1.088	0	s		0
Loc0924	Monitor20200924_0928_soil	warmroom	soil	LD_4	30	S9401	n7573	BF	0	12_10	WT	F	L	Inactive	0	n7965	9/30/20	10/13/20	10.165	1	0	0	0.564	0	s		0
Loc0924	Monitor20200924_0928_soil	warmroom	soil	LD_4	31	S9181	n7584	BF	0	8_8	WT	M	L	Abnormal	0.5	n7964	9/30/20	10/13/20	9.96	1	1	0	0.871	0	s		0
Loc0924	Monitor20200924_0928_soil	warmroom	soil	LD_4	32	S9467	n7583	WL	0	1_1	WT	F	L	Inactive	0	n7957	9/30/20	10/6/20	10.13	0	0	0	6.091	0	s		0
Loc1001	Monitor20201001_1005_soil	warmroom	soil	LD_4	1	S9519	n7582	WL	0	11_7	WT	F	L	Inactive	0	n7969	10/8/20	10/13/20	10.187	0	0	0	1.13	0	s		0
Loc1001	Monitor20201001_1005_soil	warmroom	soil	LD_4	2	S9502	n7588	WL	0	1_2	WT	F	S	Highly Active	1	n7974	10/8/20	10/22/21	9.512	1	1	1	on carcass	1	NA		0
Loc1001	Monitor20201001_1005_soil	warmroom	soil	LD_4	3	T0791	n7890	MF	1	7429_7427	F20	M	L									1					1
Loc1001	Monitor20201001_1005_soil	warmroom	soil	LD_4	4	S9176	n7584	BF	0	8_8	WT	F	L	Inactive	0	n7977	10/8/20	10/13/20	9.394	0.5	0	0	0.54	0	s		0
Loc1001	Monitor20201001_1005_soil	warmroom	soil	LD_4	5	S9322	n7575	BF	0	15_17	WT	M	S	Active	1												0
Loc1001	Monitor20201001_1005_soil	warmroom	soil	LD_4	6	S9353	n7577	BF	0	12_12	WT	F	L	Active	1	n7978	10/8/20	10/13/20	10.185	1	0	0	on carcass	1	y		0
Loc1001	Monitor20201001_1005_soil	warmroom	soil	LD_4	7	S9240	n7565	WL	0	1_1	WT	F	S	Active	1	n7975	10/8/20	10/22/20	9.947	1	0	1	4.332 on carcass	1	NA		0
Loc1001	Monitor20201001_1005_soil	warmroom	soil	LD_4	8	S9475	n7583	WL	0	1_1	WT	F	S	Active	1	n7973	10/8/20	10/22/20	9.809	1	1	1	dead, on carcass	1	NA		0
Loc1001	Monitor20201001_1005_soil	warmroom	soil	LD_4	9	S9160	n7584	BF	0	8_8	WT	F	S	Active	1												0
Loc1001	Monitor20201001_1005_soil	warmroom	soil	LD_4	10	S9265	n7578	WL	0	3_3	WT	M	L	Inactive	0	n7970	10/8/20	10/13/20	9.892	0	0	0	6.74	0	s		0
Loc1001	Monitor20201001_1005_soil	warmroom	soil	LD_4	11	S9292	n7575	BF	0	15_17	WT	F	L	Inactive	0												0
Loc1001	Monitor20201001_1005_soil	warmroom	soil	LD_4	12	S9514	n7582	WL	0	11_7	WT	M	S	Active	1	n7973	10/8/20	10/22/20	9.809	1	1	1	3.81	0	NA		0
Loc1001	Monitor20201001_1005_soil	warmroom	soil	LD_4	13	S9466	n7583	WL	0	1_1	WT	M	L	Inactive	0	n7969	10/8/20	10/13/20	10.187	0	0	0	4.17	0	s		0
Loc1001	Monitor20201001_1005_soil	warmroom	soil	LD_4	14	S9349	n7577	BF	0	12_12	WT	F	S	Active	1												0
Loc1001	Monitor20201001_1005_soil	warmroom	soil	LD_4	15	S9258	n7578	WL	0	3_3	WT	M	S	Active	1	n7975	10/8/20	10/22/20	9.947	1	0	1	NA	NA	NA		0
Loc1001	Monitor20201001_1005_soil	warmroom	soil	LD_4	16	S9207	n7565	WL	0	1_1	WT	F	L	Inactive	0	n7970	10/8/20	10/13/20	9.892	0	0	0	5.798	0	s		0
Loc1001	Monitor20201001_1005_soil	warmroom	soil	LD_4	17	S9262	n7578	WL	0	3_3	WT	F	L	Inactive	0	n7971	10/8/20	10/13/20	9.93	0	0	0	2.483	0	s		0
